lower_bound,upper_bound,count,percent_of_interval
17.999,18.1,145,2.0130501180063862
18.1,18.2,359,4.98403443009857
18.2,18.3,734,10.190198528390948
18.3,18.4,941,13.064001110648341
18.4,18.5,1421,19.727891156462583
18.5,18.6,920,12.772455921143969
18.6,18.7,1665,23.115368596418158
18.7,18.8,534,7.413577675968347
18.8,18.9,387,5.372761349437734
18.9,19.0,97,1.3466611134249618
