scenario,year,dual_value
NT,2025,-31488.56345027049
NT,2030,-31494.95094982436
NT,2040,-10491.90804597701
GA,2040,-10491.90804597701
DE,2040,-10491.90804597701
GA,2050,-15702.270387405903
DE,2050,-15702.270387405903
