year,branch,dual_value
2025,88,-4807611.906022414
2030,88,-3414300.1162297465
2040,88,-2177530.325113343
2050,88,-990363.7499384603
2025,89,0.0
2030,89,0.0
2040,89,-9.998648542441515
2050,89,0.0
2025,90,0.0
2030,90,0.0
2040,90,0.0
2050,90,0.0
2025,91,-571387.3446085777
2030,91,-356374.3384170028
2040,91,-169945.06443049078
2050,91,-36266.61880816912
2025,92,-541.674809037777
2030,92,0.0
2040,92,0.0
2050,92,0.0
2025,93,-1801273.2567546358
2030,93,-1284167.3187110636
2040,93,-824748.0700164954
2050,93,-379418.63473430526
2025,95,-1902840.4782269923
2030,95,-1343135.7347045965
2040,95,-847282.5688568029
2050,95,-375896.9771853878
2025,96,0.0
2030,96,0.0
2040,96,0.0
2050,96,0.0
2025,97,0.0
2030,97,0.0
2040,97,0.0
2050,97,0.0
2025,99,-1065564.2434296648
2030,99,-758846.235593318
2040,99,-486751.95101495343
2050,99,-225714.10165648535
2025,100,0.0
2030,100,0.0
2040,100,-10.0
2050,100,0.0
2025,101,-1906986.4179275634
2030,101,-1394725.2885527555
2040,101,-932115.9997298251
2050,101,-449136.50969649234
2025,102,-136723.68887323185
2030,102,-136733.688873232
2040,102,-133032.91211617037
2050,102,-87382.1026589622
2025,103,-3674.2014147936884
2030,103,0.0
2040,103,0.0
2050,103,0.0
2025,104,-484073.4013221972
2030,104,-347415.60731468786
2040,104,-226852.16682768456
2050,104,-109829.42293410735
2025,105,0.0
2030,105,0.0
2040,105,0.0
2050,105,0.0
2025,106,-2033146.182482243
2030,106,-1398969.2770199853
2040,106,-843343.6636986601
2050,106,-352698.7761841982
2025,107,-1334108.932641646
2030,107,-900016.2462748573
2040,107,-523076.06393188704
2050,107,-199630.55532186714
2025,219,-1306.9212044850428
2030,219,0.0
2040,219,0.0
2050,219,0.0
