,ef025,ef050,ef075,difference,difference %
Generator Investment [EUR],6480629915.530873,9603004489.036396,11457314471.795006,3122374573.5055227,48.2
Transmission Investment [EUR],508598003.4978679,409759649.8084269,285042734.48119545,-98838353.68944097,-19.4
Battery Investment [EUR],199492925.6632737,196277760.0449112,291189244.79700696,-3215165.6183624864,-1.6
CapEx [EUR],7188720844.692015,10209041898.889734,12033546451.073208,3020321054.1977196,42.0
Production Cost [EUR],25127363339.69369,18947156001.389683,15004428790.407438,-6180207338.3040085,-24.6
CO2 Cost [EUR],11034070435.05882,8240387991.868599,6490810397.305934,-2793682443.190222,-25.3
Load Shedding Cost [EUR],116219567.95352094,112749553.47665028,6078244.739501351,-3470014.476870656,-3.0
Curtailment Cost [EUR],0.0,0.0,0.0,0.0,
Total OpEx [EUR],36277653342.70603,27300293546.73493,21501317432.452877,-8977359795.971104,-24.7
Total System Cost [EUR],43466374187.39805,37509335445.62466,33534863883.52608,-5957038741.773392,-13.7
