run,Generator Investment [EUR],Transmission Investment [EUR],Battery Investment [EUR],CapEx [EUR],Production Cost [EUR],CO2 Cost [EUR],Load Shedding Cost [EUR],Curtailment Cost [EUR],Total OpEx [EUR],Total System Cost [EUR]
ef025,6480629915.530873,508598003.4978679,199492925.6632737,7188720844.692015,25127363339.69369,11034070435.05882,116219567.95352094,0.0,36277653342.70603,43466374187.39805
ef050,9603004489.036396,409759649.8084269,196277760.0449112,10209041898.889734,18947156001.389683,8240387991.868599,112749553.47665028,0.0,27300293546.73493,37509335445.62466
ef075,11457314471.795006,285042734.48119545,291189244.79700696,12033546451.073208,15004428790.407438,6490810397.305934,6078244.739501351,0.0,21501317432.452877,33534863883.52608
