year,AIC,expected_OC,total_cost
2025,4732820447.302715,5304235485.920649,10037055933.223364
2030,2791541178.036019,4372603267.191828,7164144445.227846
2040,1179937576.8854032,5576750578.666141,6756688155.551544
2050,410099432.7080743,5983186190.7803545,6393285623.488429
