year,potential_capacity,new_capacity,number_possible_buildouts,number_actual_buildouts,cost_of_buildout
2025,95000,10000.0,19,2,181172330.83405194
2030,95000,2917.1860097375784,19,1,38307038.53359925
2040,95000,0.0,19,0,0.0
2050,95000,0.0,19,0,0.0
