lower_bound,upper_bound,count,percent_of_interval
18.999,19.1,137,18.767123287671232
19.1,19.2,0,0.0
19.2,19.3,238,32.602739726027394
19.3,19.4,0,0.0
19.4,19.5,117,16.027397260273972
19.5,19.6,0,0.0
19.6,19.7,238,32.602739726027394
19.7,19.8,0,0.0
19.8,19.9,0,0.0
19.9,20.0,0,0.0
