carrier,Marginal Cost (€/MWh),CO2 Emissions (ton/MWh),Annualized Investment Cost (€/MW),CO2 Cost (€/MWh),Total Marginal Cost (€/MWh)
CCGT,39.82453889356681,0.2,99027.72929315244,17.0,56.82453889356681
onwind,0.015,0.0,96085.88801996631,0.0,0.015
solar,0.00999999999999995,0.0,35602.07124380446,0.0,0.00999999999999995
