carrier,capital_cost [€/MW/year]
CCGT,99027.72929315244
OCGT,45095.4415151225
biomass,278083.0653560446
coal,349976.5536298572
lignite,349976.5536298572
nuclear,706772.6167689589
offwind-ac,190173.09135815102
offwind-dc,214263.4972941469
oil,37870.8074066883
onwind,96085.88801996628
ror,299140.2249292296
solar,35602.07124380445
