year,AIC,expected_OC,total_cost
2025,4849273764.050721,6825927504.914309,11675201268.96503
2030,3360744876.5194044,5622337271.675501,8983082148.194904
2040,1860384508.9832644,6872750930.788744,8733135439.772009
2050,410099432.7080743,7364632511.614773,7774731944.322847
