year,potential_capacity,new_capacity,number_possible_buildouts,number_actual_buildouts,cost_of_buildout
2025,95000,15496.807274297907,19,4,258572389.42590916
2030,95000,8280.537113151271,19,2,141364838.72053397
2040,95000,0.0,19,0,0.0
2050,95000,0.0,19,0,0.0
