Label,Objective Value,Optimality Gap (%),Runtime (s),Build Time (s),Optimize Time (s),Total Time (s),Number of Variables,Number of Constraints,Number of Nonzeros,Number of Integer Variables,Number of Binary Variables,Number of Quadratic Constraints,Model Status
SP,23383152144.955578,,633.4824929237366,110.72827291488647,634.0059115886688,744.7341845035553,1629488,1181276,3144995,0,0,0,2
EV,23072426487.6668,,226.9500069618225,56.38788151741028,227.17332196235657,283.56120347976685,543536,675252,1736240,0,0,0,2
EEV,25404319326.133614,,4.269542932510376,110.8295316696167,4.746553659439087,115.5760853290558,1629488,1181276,3144995,0,0,0,2
EVPI,23178571227.79993,,239.60390516122183,69.0426390171051,239.9627186457316,309.00535766283673,1267504.0,675257.3333333334,1850928.0,0.0,0.0,0.0,2.0
EVPI std,914267325.3224704,,16.330343836015313,4.860267533036059,16.32072769015254,16.40243113748806,280391.6007187091,2.0655911179772892,44418.471400983624,0.0,0.0,0.0,0.0
