year,num_buildout,capacity,cumulative_capacity,investment_cost,cycles_per_year
2025,3,31117.390833935104,31117.390833935104,683304449.6572889,87.47967898445505
2030,0,0.0,31117.390833935104,0.0,105.85008445667764
2040,0,0.0,31117.390833935104,0.0,148.33089603053526
2050,0,0.0,31117.390833935104,0.0,177.3901638656147
