year,AIC,expected_OC,total_cost
2025,6632965792.110521,4251821201.820075,10884786993.930595
2030,3429779774.4523544,2784571197.1028357,6214350971.55519
2040,2182512175.076455,3289995938.860613,5472508113.937068
2050,628625457.5154939,3700411757.790157,4329037215.305651
