year,potential_capacity,new_capacity,number_possible_buildouts,number_actual_buildouts,cost_of_buildout,total_production,total_co2_emissions,total_co2_emission_cost,total_production_cost,total_production_cost_with_emission,total_cost
2025,192912.81713965908,71391.7392444213,51,20,6445317742.159314,266819699.89964655,15604800.696207676,1326408059.1776524,2925413142.6424227,4251821201.820075,10697138943.97939
2030,192912.81713965908,46541.39558758353,51,15,3382660860.5709496,286531428.72895503,10323337.288962623,877483669.5618229,1907087527.5410125,2784571197.102835,6167232057.673784
2040,192912.81713965908,28529.783385339062,51,9,1932202115.1343431,341864881.37420833,12299583.984361982,1045464638.6707685,2244531300.1898446,3289995938.8606133,5222198053.994957
2050,192912.81713965908,0.0,51,0,0.0,364135252.7294834,13876828.975210914,1179530462.8929276,2520881294.897229,3700411757.790157,3700411757.790157
