year,num_buildout,capacity,investment_cost,cycles_per_year
2025,0,0.0,0.0,
2030,2,2145.775078229887,47118913.88140467,371.8808577964504
2040,2,13544.787581062252,250310059.94211206,315.4853624099129
2050,3,42172.120623429815,628625457.5154939,230.99738043451842
