year,generator,bus,carrier,p_nom,marginal_cost,capital_cost,co2_emissions,color,nice_name,extendable,extension_potential,new_capacity,cum_new_capacity,cum_extension_potential,total_capacity
2025,ES1 0 CCGT,ES1 0,CCGT,3425.3,38.85517241379311,99027.72929315244,0.2,#b20101,Combined-Cycle Gas,True,1712.65,0.0,0.0,1712.65,3425.3
2030,ES1 0 CCGT,ES1 0,CCGT,3425.3,38.85517241379311,99017.72929315244,0.2,#b20101,Combined-Cycle Gas,True,1712.65,0.0,0.0,3425.3,3425.3
2040,ES1 0 CCGT,ES1 0,CCGT,3425.3,38.85517241379311,99007.72929315244,0.2,#b20101,Combined-Cycle Gas,True,1712.65,0.0,0.0,5137.950000000001,3425.3
2050,ES1 0 CCGT,ES1 0,CCGT,3425.3,38.85517241379311,98997.72929315244,0.2,#b20101,Combined-Cycle Gas,True,1712.65,0.0,0.0,6850.6,3425.3
2025,ES1 0 coal,ES1 0,coal,1068.524932656719,28.196969696969692,349976.5536298572,0.34,#707070,Coal,True,534.2624663283596,0.0,0.0,534.2624663283596,1068.524932656719
2030,ES1 0 coal,ES1 0,coal,1068.524932656719,28.196969696969692,349966.5536298572,0.34,#707070,Coal,True,534.2624663283596,0.0,0.0,1068.524932656719,1068.524932656719
2040,ES1 0 coal,ES1 0,coal,1068.524932656719,28.196969696969692,349956.5536298572,0.34,#707070,Coal,True,534.2624663283596,0.0,0.0,1602.7873989850787,1068.524932656719
2050,ES1 0 coal,ES1 0,coal,1068.524932656719,28.196969696969692,349946.5536298572,0.34,#707070,Coal,True,534.2624663283596,0.0,0.0,2137.049865313438,1068.524932656719
2025,ES1 0 offwind-ac,ES1 0,offwind-ac,212.58505875491943,0.015,183919.0330536336,0.0,#6895dd,Offshore Wind (AC),True,106.29252937745972,0.0,0.0,106.29252937745972,212.58505875491943
2030,ES1 0 offwind-ac,ES1 0,offwind-ac,212.58505875491943,0.015,183909.0330536336,0.0,#6895dd,Offshore Wind (AC),True,106.29252937745972,0.0,0.0,212.58505875491943,212.58505875491943
2040,ES1 0 offwind-ac,ES1 0,offwind-ac,212.58505875491943,0.015,183899.0330536336,0.0,#6895dd,Offshore Wind (AC),True,106.29252937745972,0.0,0.0,318.8775881323792,212.58505875491943
2050,ES1 0 offwind-ac,ES1 0,offwind-ac,212.58505875491943,0.015,183889.0330536336,0.0,#6895dd,Offshore Wind (AC),True,106.29252937745972,0.0,0.0,425.17011750983886,212.58505875491943
2025,ES1 0 onwind,ES1 0,onwind,1487.7755517327946,0.015,96085.88801996633,0.0,#235ebc,Onshore Wind,True,743.8877758663973,743.8877758663973,743.8877758663973,743.8877758663973,2231.6633275991917
2030,ES1 0 onwind,ES1 0,onwind,1487.7755517327946,0.015,96075.88801996633,0.0,#235ebc,Onshore Wind,True,743.8877758663973,0.0,743.8877758663973,1487.7755517327946,2231.6633275991917
2040,ES1 0 onwind,ES1 0,onwind,1487.7755517327946,0.015,96065.88801996633,0.0,#235ebc,Onshore Wind,True,743.8877758663973,0.0,743.8877758663973,2231.6633275991917,2231.6633275991917
2050,ES1 0 onwind,ES1 0,onwind,1487.7755517327946,0.015,96055.88801996633,0.0,#235ebc,Onshore Wind,True,743.8877758663973,0.0,743.8877758663973,2975.551103465589,2231.6633275991917
2025,ES1 0 solar,ES1 0,solar,1103.2863903115249,0.01,35602.07124380446,0.0,#f9d002,Solar,True,551.6431951557624,551.6431951557624,551.6431951557624,551.6431951557624,1654.9295854672873
2030,ES1 0 solar,ES1 0,solar,1103.2863903115249,0.01,35592.07124380446,0.0,#f9d002,Solar,True,551.6431951557624,551.6431951557624,1103.2863903115249,1103.2863903115249,2206.5727806230498
2040,ES1 0 solar,ES1 0,solar,1103.2863903115249,0.01,35582.07124380446,0.0,#f9d002,Solar,True,551.6431951557624,551.6431951557624,1654.9295854672873,1654.9295854672873,2758.215975778812
2050,ES1 0 solar,ES1 0,solar,1103.2863903115249,0.01,35572.07124380446,0.0,#f9d002,Solar,True,551.6431951557624,551.6431951557624,2206.5727806230498,2206.5727806230498,3309.8591709345746
