lower_bound,upper_bound,count,percent_of_interval
1.999,2.1,0,0
2.1,2.2,0,0
2.2,2.3,0,0
2.3,2.4,0,0
2.4,2.5,0,0
2.5,2.6,0,0
2.6,2.7,0,0
2.7,2.8,0,0
2.8,2.9,0,0
2.9,3.0,0,0
