year,DE,GA,NT,Average
2025,,,26.6512857644484,26.6512857644484
2030,,,29.818417808286473,29.818417808286473
2040,40.18964188088586,34.67597001070577,39.05125357603488,37.972288489208836
2050,48.999606283738935,38.33573281843271,,43.66766955108582
