year,DE,GA,NT,Average
2025,,,33.37300054559264,33.37300054559264
2030,,,22.783068923644272,22.783068923644272
2040,30.04078675829897,23.815911098425136,29.010442668245066,27.622380174989726
2050,54.932211022928456,27.69494842001345,,41.31357972147095
