Case,Year,Scenario,utilization_rate (%),congestion_rate (%)
dc10,2025,NT,63.67,51.55
dc10,2030,NT,66.18,51.3
dc10,2040,DE,66.33,51.98
dc10,2040,GA,66.18,51.25
dc10,2040,NT,66.3,51.74
dc10,2050,DE,66.34,52.34
dc10,2050,GA,66.1,51.89
dc100,2025,NT,63.67,51.57
dc100,2030,NT,66.21,51.18
dc100,2040,DE,66.37,52.01
dc100,2040,GA,66.21,51.25
dc100,2040,NT,66.33,51.72
dc100,2050,DE,66.36,52.28
dc100,2050,GA,66.14,51.86
dc250,2025,NT,63.6,51.62
dc250,2030,NT,66.26,51.17
dc250,2040,DE,66.42,51.93
dc250,2040,GA,66.26,51.25
dc250,2040,NT,66.38,51.72
dc250,2050,DE,66.42,52.29
dc250,2050,GA,66.19,51.82
dc50,2025,NT,63.66,51.57
dc50,2030,NT,66.19,51.25
dc50,2040,DE,66.34,52.01
dc50,2040,GA,66.19,51.25
dc50,2040,NT,66.3,51.75
dc50,2050,DE,66.36,52.36
dc50,2050,GA,66.12,51.89
dc500,2025,NT,63.47,51.68
dc500,2030,NT,66.33,51.18
dc500,2040,DE,66.52,51.82
dc500,2040,GA,66.36,51.41
dc500,2040,NT,66.47,51.78
dc500,2050,DE,66.56,52.29
dc500,2050,GA,66.27,51.77
