year,CCGT,coal,offwind-ac,onwind,ror,solar,Total
2025,8316779558.28886,439016.375324904,602712.0055598748,1096569.1110123575,0.0,291316.92362209404,8319209172.70438
2030,6792456077.364589,292677.58354993595,738198.609221049,1359681.8787467838,0.0,388422.5648294587,6795235058.0009365
2040,7894626506.746387,20091845.379660897,869112.7061156534,1642723.5826400574,0.0,485528.2060368234,7917715716.620839
2050,8309793081.773288,127369687.6230046,893259.1352905005,1721376.7911349402,0.0,582633.8472441881,8440360039.169962
