year,potential_capacity,new_capacity,number_possible_buildouts,number_actual_buildouts,cost_of_buildout
2025,95000,17369.840671040485,19,4,294001573.0586379
2030,95000,11925.612165916937,19,3,203638963.67776912
2040,95000,0.0,19,0,0.0
2050,95000,0.0,19,0,0.0
