year,CCGT,coal,offwind-ac,onwind,ror,solar
2025,46858133.80711235,10693836.399533205,67317819.60093269,82396764.46908972,4195183.521741388,61108559.401308954
2030,43083286.781031005,8969399.658633906,58583540.45247053,80348326.51651613,4195183.521741388,96961855.57141234
2040,59150315.77387365,13099727.829484852,55457621.28568732,86521113.07578547,4195183.521741388,128920894.6369219
2050,66295142.156479806,14894768.459195388,58179843.006887764,91655109.34911767,4195183.521741388,134141866.41891266
