year,branch,value
2025,88,5000.0
2030,88,5000.0
2040,88,5000.0
2050,88,0.0
2025,89,2779.506354879503
2030,89,3581.750688205218
2040,89,4459.815033391049
2050,89,0.0
2025,90,4136.479763747234
2030,90,4561.373226395978
2040,90,1221.6632174173392
2050,90,0.0
2025,91,5000.0
2030,91,5000.0
2040,91,5000.0
2050,91,0.0
2025,92,5000.0
2030,92,4600.514336441411
2040,92,0.0
2050,92,0.0
2025,93,5000.0
2030,93,5000.0
2040,93,5000.0
2050,93,0.0
2025,95,5000.0
2030,95,5000.0
2040,95,5000.0
2050,95,0.0
2025,96,0.0
2030,96,0.0
2040,96,0.0
2050,96,0.0
2025,97,0.0
2030,97,0.0
2040,97,0.0
2050,97,0.0
2025,99,5000.0
2030,99,5000.0
2040,99,5000.0
2050,99,0.0
2025,100,0.0
2030,100,0.0
2040,100,3658.423899251952
2050,100,0.0
2025,101,5000.0
2030,101,5000.0
2040,101,5000.0
2050,101,0.0
2025,102,5000.0
2030,102,5000.0
2040,102,5000.0
2050,102,0.0
2025,103,4626.230457429732
2030,103,2307.0528212431564
2040,103,0.0
2050,103,0.0
2025,104,5000.0
2030,104,5000.0
2040,104,5000.0
2050,104,0.0
2025,105,0.0
2030,105,0.0
2040,105,0.0
2050,105,0.0
2025,106,5000.0
2030,106,5000.0
2040,106,5000.0
2050,106,0.0
2025,107,5000.0
2030,107,5000.0
2040,107,5000.0
2050,107,0.0
2025,219,4179.242974076758
2030,219,1350.4965474007558
2040,219,0.0
2050,219,0.0
