run,Generator Investment [EUR],Transmission Investment [EUR],Battery Investment [EUR],CapEx [EUR],Production Cost [EUR],CO2 Cost [EUR],Load Shedding Cost [EUR],Curtailment Cost [EUR],Total OpEx [EUR],Total System Cost [EUR]
ramp004,12551052702.61456,227444269.0733404,111841404.3336984,12890338376.021597,11235026839.775875,5100736109.407131,0.0,0.0,16335762949.183006,29226101325.204605
ramp008,11867008352.926224,219479369.3676512,162284100.05125207,12248771822.345127,10786340987.765312,4907522063.291811,0.0,0.0,15693863051.057123,27942634873.40225
ramp012,11476308138.4521,221869301.66384417,182706679.4846269,11880884119.60057,10643379204.304691,4818902765.790442,0.0,0.0,15462281970.095137,27343166089.695705
