,ramp004,ramp008,ramp012,difference,difference %
Generator Investment [EUR],12551052702.61456,11867008352.926224,11476308138.4521,-684044349.6883354,-5.5
Transmission Investment [EUR],227444269.0733404,219479369.3676512,221869301.66384417,-7964899.705689192,-3.5
Battery Investment [EUR],111841404.3336984,162284100.05125207,182706679.4846269,50442695.71755366,45.1
CapEx [EUR],12890338376.021597,12248771822.345127,11880884119.60057,-641566553.6764698,-5.0
Production Cost [EUR],11235026839.775875,10786340987.765312,10643379204.304691,-448685852.0105629,-4.0
CO2 Cost [EUR],5100736109.407131,4907522063.291811,4818902765.790442,-193214046.1153202,-3.8
Load Shedding Cost [EUR],0.0,0.0,0.0,0.0,
Curtailment Cost [EUR],0.0,0.0,0.0,0.0,
Total OpEx [EUR],16335762949.183006,15693863051.057123,15462281970.095137,-641899898.1258831,-3.9
Total System Cost [EUR],29226101325.204605,27942634873.40225,27343166089.695705,-1283466451.8023567,-4.4
