year,scenario,count_total,count_bucket,percent_bucket_of_total
2025,NT,7392,22,0.2976190476190476
2030,NT,7392,32,0.4329004329004329
2040,DE,7392,0,0.0
2040,GA,7392,0,0.0
2040,NT,7392,11,0.1488095238095238
2050,DE,7392,2,0.027056277056277056
2050,GA,7392,62,0.8387445887445888
