year,CCGT,coal,offwind-ac,onwind,ror,solar,Total
2025,113487561.26624025,10660984.922523435,40220591.07692464,73065872.20080045,15130152.62365348,29131692.362209402,281696854.4523516
2030,96826954.266996,5466238.814091934,48986402.369078025,90644239.36759765,20173536.831537973,38842256.48294587,300939628.13224745
2040,113444376.25603433,11385255.592952384,55397799.48934861,109293508.11698925,21518268.57555854,48552820.60368233,359592028.6345655
2050,120110864.96190035,13452859.389520017,55631140.09934884,114618916.17669995,21518268.57555854,58263384.724418804,383595433.92744654
