Case,Year,Scenario,utilization_rate (%),congestion_rate (%)
rf025,2025,NT,64.06,51.12
rf025,2030,NT,66.4,51.14
rf025,2040,DE,66.61,51.1
rf025,2040,GA,66.35,51.05
rf025,2040,NT,66.54,51.09
rf025,2050,DE,66.57,51.47
rf025,2050,GA,66.25,51.42
rf050,2025,NT,63.93,51.48
rf050,2030,NT,66.28,51.15
rf050,2040,DE,66.43,51.57
rf050,2040,GA,66.28,51.17
rf050,2040,NT,66.4,51.41
rf050,2050,DE,66.41,51.66
rf050,2050,GA,66.21,51.61
rf100,2025,NT,63.67,51.5
rf100,2030,NT,66.18,51.28
rf100,2040,DE,66.33,51.89
rf100,2040,GA,66.17,51.18
rf100,2040,NT,66.27,51.6
rf100,2050,DE,66.33,52.22
rf100,2050,GA,66.09,51.79
