year,potential_capacity,new_capacity,number_possible_buildouts,number_actual_buildouts,cost_of_buildout
2025,95000,78530.17912625744,19,17,1450296350.0211043
2030,95000,63747.76286236332,19,14,1161141970.9017344
2040,95000,51834.28022901369,19,11,968208397.4332414
2050,95000,37202.244634988056,19,9,717920225.5538495
