year,scenario,production,co2_emission,co2_emission_cost,production_cost,production_cost_with_emission
2025,NT,273940158.80240613,20150625.44861111,1612050035.8888886,3675618469.2582707,5287668505.14716
2030,NT,293341051.3772301,16460111.81230764,1316808944.9846115,3040191839.563155,4357000784.547767
2040,DE,366890404.67483354,23940901.557280064,1915272124.582405,4315126030.960671,6230398155.543076
2040,GA,326150217.81558824,17402261.33568152,1392180906.8545218,3191238396.409781,4583419303.264302
2040,NT,358176754.358648,22486885.65943613,1798950852.7548902,4066292369.2377234,5865243221.992613
2050,DE,396248989.388165,26588306.217598595,2127064497.4078875,4774550919.59503,6901615417.002917
2050,GA,351284652.2473996,19188454.875546664,1535076390.0437331,3494384483.2710905,5029460873.314823
