year,CCGT,coal,offwind-ac,onwind,ror,solar,Total
2025,95850488.0108669,8888688.348251946,43003797.19138773,82546125.37042215,17650087.513310015,33986974.422577634,281926160.8568164
2030,69600124.60255608,6001143.482022956,52178219.5531929,100861398.33006237,24901511.66681386,48552820.60368234,302095218.2383305
2040,86458789.7304177,9866964.549833307,57766216.97474771,118549426.75553069,24908487.909712635,63118666.78478704,360668552.7050291
2050,89820064.51155654,10925159.5010916,57878534.85151297,123538377.66018468,24908487.909712635,77651341.62378782,384721966.0578462
