Case,Year,Scenario,utilization_rate (%),congestion_rate (%)
ramp004,2025,NT,63.43,51.5
ramp004,2030,NT,66.45,52.02
ramp004,2040,DE,66.88,52.15
ramp004,2040,GA,66.71,51.93
ramp004,2040,NT,66.84,51.94
ramp004,2050,DE,66.78,52.37
ramp004,2050,GA,66.84,52.15
ramp008,2025,NT,63.49,51.32
ramp008,2030,NT,65.96,51.58
ramp008,2040,DE,66.39,51.93
ramp008,2040,GA,66.21,51.63
ramp008,2040,NT,66.38,51.85
ramp008,2050,DE,66.37,51.79
ramp008,2050,GA,66.37,51.78
ramp012,2025,NT,63.59,51.29
ramp012,2030,NT,66.17,51.46
ramp012,2040,DE,66.63,51.86
ramp012,2040,GA,66.43,51.64
ramp012,2040,NT,66.62,51.84
ramp012,2050,DE,66.59,51.84
ramp012,2050,GA,66.58,52.08
