year,potential_capacity,new_capacity,number_possible_buildouts,number_actual_buildouts,cost_of_buildout
2025,95000,18733.82389166176,19,5,319281339.37771446
2030,95000,11935.560098347074,19,3,203755545.4810411
2040,95000,0.0,19,0,0.0
2050,95000,0.0,19,0,0.0
