snapshot,ES1 0,PT1 0
2013-01-01 00:00:00,22487.942028990958,4750.0
2013-01-01 01:00:00,20929.62376877708,4557.0
2013-01-01 02:00:00,19488.766683956208,4262.0
2013-01-01 03:00:00,18583.33679030179,4002.0
2013-01-01 04:00:00,18251.508969816547,3852.0
2013-01-01 05:00:00,18255.424342329647,3754.0
2013-01-01 06:00:00,18442.383379830186,3724.0
2013-01-01 07:00:00,18186.905323350395,3478.0
2013-01-01 08:00:00,18365.05477269645,3574.0
2013-01-01 09:00:00,19937.07683670618,3900.0
2013-01-01 10:00:00,21616.771644826164,4305.0
2013-01-01 11:00:00,22517.30732283921,4669.0
2013-01-01 12:00:00,23197.603296990364,4727.0
2013-01-01 13:00:00,23130.06312113939,4431.0
2013-01-01 14:00:00,21883.99581884525,4324.0
2013-01-01 15:00:00,21447.43178363458,4299.0
2013-01-01 16:00:00,22000.478151109983,4379.0
2013-01-01 17:00:00,24748.09081217804,5263.0
2013-01-01 18:00:00,26103.788544838982,5596.0
2013-01-01 19:00:00,27019.98571290443,5669.0
2013-01-01 20:00:00,27449.697846217176,5743.0
2013-01-01 21:00:00,22347.967461647622,5625.0
2013-01-01 22:00:00,24568.96251970371,5414.0
2013-01-01 23:00:00,21947.620622183127,4903.0
2013-01-02 00:00:00,19808.848386902147,4535.0
2013-01-02 01:00:00,18519.71198696391,4221.0
2013-01-02 02:00:00,17871.717836045827,4024.0
2013-01-02 03:00:00,17831.58526778655,3968.0
2013-01-02 04:00:00,18548.09843768389,3973.0
2013-01-02 05:00:00,21029.465767861133,4032.0
2013-01-02 06:00:00,24723.619733971165,4437.0
2013-01-02 07:00:00,28004.701899949127,4853.0
2013-01-02 08:00:00,30652.472561933133,5729.0
2013-01-02 09:00:00,32171.63709701601,6299.0
2013-01-02 10:00:00,32472.141937396445,6506.0
2013-01-02 11:00:00,32218.62156717321,6610.0
2013-01-02 12:00:00,31775.20563006461,6402.0
2013-01-02 13:00:00,31189.85743935613,6356.0
2013-01-02 14:00:00,30393.079132940245,6368.0
2013-01-02 15:00:00,30207.098938567982,6295.0
2013-01-02 16:00:00,30980.385009905272,6381.0
2013-01-02 17:00:00,33438.26010500392,7179.0
2013-01-02 18:00:00,33980.5391980683,7437.0
2013-01-02 19:00:00,33821.96661128774,7468.0
2013-01-02 20:00:00,33474.47730075009,7246.0
2013-01-02 21:00:00,31716.47504236811,6953.0
2013-01-02 22:00:00,28806.374422006396,6447.0
2013-01-02 23:00:00,25743.574273633767,5705.0
2013-01-03 00:00:00,23247.524296532392,5178.0
2013-01-03 01:00:00,21776.323074734995,4753.0
2013-01-03 02:00:00,21004.994689654257,4543.0
2013-01-03 03:00:00,20887.533514261253,4471.0
2013-01-03 04:00:00,21285.9226674692,4452.0
2013-01-03 05:00:00,23251.43966904549,4589.0
2013-01-03 06:00:00,26697.946323701937,4991.0
2013-01-03 07:00:00,29749.97919766354,5553.0
2013-01-03 08:00:00,32271.47909610006,6390.0
2013-01-03 09:00:00,33389.317948590164,6730.0
2013-01-03 10:00:00,33324.71430212401,6775.0
2013-01-03 11:00:00,32703.14891566936,6844.0
2013-01-03 12:00:00,32524.020623195025,6524.0
2013-01-03 13:00:00,31327.87432044292,6541.0
2013-01-03 14:00:00,30673.02826762691,6509.0
2013-01-03 15:00:00,30521.307582744277,6410.0
2013-01-03 16:00:00,31239.77843889816,6468.0
2013-01-03 17:00:00,33553.76359414037,7197.0
2013-01-03 18:00:00,34258.53064649841,7482.0
2013-01-03 19:00:00,34289.85362660321,7557.0
2013-01-03 20:00:00,33904.18943406284,7340.0
2013-01-03 21:00:00,31946.503177512743,7030.0
2013-01-03 22:00:00,28856.295421548417,6458.0
2013-01-03 23:00:00,26278.022621671946,5727.0
2013-01-04 00:00:00,23805.46487964917,5217.0
2013-01-04 01:00:00,22313.707952158,4795.0
2013-01-04 02:00:00,21616.771644826164,4611.0
2013-01-04 03:00:00,21459.17790117388,4500.0
2013-01-04 04:00:00,21925.107230232803,4466.0
2013-01-04 05:00:00,23962.07978017318,4566.0
2013-01-04 06:00:00,27349.85584713312,4999.0
2013-01-04 07:00:00,30458.661622534677,5629.0
2013-01-04 08:00:00,32624.841465407357,6406.0
2013-01-04 09:00:00,33740.72263164091,6825.0
2013-01-04 10:00:00,33657.52096573753,6862.0
2013-01-04 11:00:00,32838.22926737132,6884.0
2013-01-04 12:00:00,32584.70889714808,6538.0
2013-01-04 13:00:00,31338.64159485394,6477.0
2013-01-04 14:00:00,30320.64474144789,6546.0
2013-01-04 15:00:00,29944.76898019027,6445.0
2013-01-04 16:00:00,30371.544584118197,6419.0
2013-01-04 17:00:00,32817.67356167754,7128.0
2013-01-04 18:00:00,33693.73816148371,7396.0
2013-01-04 19:00:00,33632.07104440238,7413.0
2013-01-04 20:00:00,33247.385694990284,7198.0
2013-01-04 21:00:00,31701.792395443983,6902.0
2013-01-04 22:00:00,29212.594320240536,6441.0
2013-01-04 23:00:00,26961.255125207925,5807.0
2013-01-05 00:00:00,24660.97377376156,5247.0
2013-01-05 01:00:00,22555.482204841934,4814.0
2013-01-05 02:00:00,21577.61791969516,4601.0
2013-01-05 03:00:00,21097.98478684039,4459.0
