Case,Year,Scenario,utilization_rate (%),congestion_rate (%)
co2_100,2025,NT,61.9,50.67
co2_100,2030,NT,62.57,50.81
co2_100,2040,DE,63.77,51.31
co2_100,2040,GA,63.25,51.28
co2_100,2040,NT,63.69,51.39
co2_100,2050,DE,64.55,51.85
co2_100,2050,GA,63.61,51.11
co2_120,2025,NT,62.06,50.45
co2_120,2030,NT,62.73,51.07
co2_120,2040,DE,63.96,51.33
co2_120,2040,GA,63.38,51.55
co2_120,2040,NT,63.86,51.34
co2_120,2050,DE,64.66,51.66
co2_120,2050,GA,63.78,51.45
co2_140,2025,NT,62.09,50.37
co2_140,2030,NT,62.7,51.14
co2_140,2040,DE,63.82,51.3
co2_140,2040,GA,63.23,51.4
co2_140,2040,NT,63.71,51.04
co2_140,2050,DE,64.47,52.0
co2_140,2050,GA,63.65,51.39
co2_160,2025,NT,62.26,50.28
co2_160,2030,NT,63.03,51.16
co2_160,2040,DE,64.05,51.21
co2_160,2040,GA,63.5,51.54
co2_160,2040,NT,63.94,51.17
co2_160,2050,DE,64.64,52.21
co2_160,2050,GA,63.94,51.68
co2_80,2025,NT,63.97,51.98
co2_80,2030,NT,64.54,51.56
co2_80,2040,DE,65.98,51.75
co2_80,2040,GA,65.3,51.64
co2_80,2040,NT,65.84,51.74
co2_80,2050,DE,66.42,51.76
co2_80,2050,GA,65.71,51.61
nb_co2_100,2025,NT,62.88,51.29
nb_co2_100,2030,NT,63.25,51.24
nb_co2_100,2040,DE,64.73,51.83
nb_co2_100,2040,GA,63.95,51.44
nb_co2_100,2040,NT,64.57,51.57
nb_co2_100,2050,DE,65.25,51.9
nb_co2_100,2050,GA,64.43,51.68
nb_co2_120,2025,NT,63.15,51.33
nb_co2_120,2030,NT,63.49,51.21
nb_co2_120,2040,DE,65.0,51.88
nb_co2_120,2040,GA,64.2,51.51
nb_co2_120,2040,NT,64.86,51.86
nb_co2_120,2050,DE,65.5,52.14
nb_co2_120,2050,GA,64.72,51.88
nb_co2_140,2025,NT,63.54,51.99
nb_co2_140,2030,NT,63.91,51.54
nb_co2_140,2040,DE,65.36,51.79
nb_co2_140,2040,GA,64.6,51.82
nb_co2_140,2040,NT,65.22,51.74
nb_co2_140,2050,DE,65.85,51.92
nb_co2_140,2050,GA,65.09,51.88
nb_co2_160,2025,NT,63.78,52.06
nb_co2_160,2030,NT,64.28,51.55
nb_co2_160,2040,DE,65.7,51.74
nb_co2_160,2040,GA,64.96,51.73
nb_co2_160,2040,NT,65.56,51.85
nb_co2_160,2050,DE,66.17,51.78
nb_co2_160,2050,GA,65.41,51.69
nb_co2_80,2025,NT,62.49,50.34
nb_co2_80,2030,NT,63.39,51.14
nb_co2_80,2040,DE,64.39,51.6
nb_co2_80,2040,GA,63.86,51.69
nb_co2_80,2040,NT,64.27,51.56
nb_co2_80,2050,DE,64.94,52.09
nb_co2_80,2050,GA,64.32,51.78
