year,potential_capacity,new_capacity,number_possible_buildouts,number_actual_buildouts,cost_of_buildout
2025,95000,17292.8203645658,19,4,291902385.6352218
2030,95000,11623.95748722664,19,3,194550510.7498241
2040,95000,0.0,19,0,0.0
2050,95000,0.0,19,0,0.0
