year,potential_capacity,new_capacity,number_possible_buildouts,number_actual_buildouts,cost_of_buildout,total_production,total_co2_emissions,total_co2_emission_cost,total_production_cost,total_production_cost_with_emission,total_cost
2025,48228.20428491477,33012.233814348816,51,38,3661741344.8818717,273950741.80119383,20272418.09381312,1621793447.5050497,3667329811.6979065,5289123259.202956,8950864604.084827
2030,48228.20428491477,26440.225828979965,51,30,2741036836.514306,293299244.12100065,16520837.997724144,1321667039.8179317,3034434198.7219553,4356101238.539887,7097138075.0541935
2040,48228.20428491477,15339.502701910871,51,19,1201373581.7070725,350328189.11073214,21275397.1089312,1702031768.714496,3854089006.1587753,5556120774.873272,6757494356.580344
2050,48228.20428491477,8270.018234423762,51,12,397942505.90347135,373687578.75236857,22870923.286355503,1829673862.90844,4132130431.539925,5961804294.448365,6359746800.351836
