,Built Generators,Potential Generators,Capacity,Potential Capacity,Utilization rate (%),Max utilization rate (%)
solar,2.0,2,2541.4038546077322,2541.4038546077336,17.04983450241985,17.32762614193999
CCGT,,2,0.0,6090.0664,66.62393941631345,100.0
coal,,1,0.0,947.8786965467825,99.99999999999997,100.0
offwind-ac,,2,0.0,2746.9304443667334,23.16762249499953,26.58076663724985
onwind,,2,0.0,6407.90066894466,11.93049530876543,18.492475718788654
ror,,2,0.0,557.1016495,26.85090172977918,30.59738127911547
