carrier,Total Production [MW],New Production [MW],Old Production [MW],Total Production Cost [€],Cost of Buildout [€],Marginal Cost [€/MWh],CO2 Emission Intensity [ton/MWh],Total Production Cost [€] old,Total CO2 Emissions [ton],Total CO2 Cost [€],Total Production Cost With Emissions [€],Total Cost €
CCGT,177715966.11521763,0.0,177715966.11521763,7177070346.532164,0.0,39.82453889356681,0.2,7077456404.563286,35543193.223043524,3021171423.9586997,10198241770.490864,10198241770.490864
coal,41517086.90874907,0.0,41517086.90874907,1170656041.4724553,0.0,28.196969696969692,0.34,1170656041.4724545,14115809.548974684,1199843811.662848,2370499853.1353035,2370499853.1353035
offwind-ac,27874253.229138084,0.0,27874253.229138084,418113.7984370693,0.0,0.014999999999999951,0.0,418113.79843706987,0.0,0.0,418113.7984370693,418113.7984370693
onwind,33484849.84500705,0.0,33484849.84500705,502272.7476751058,0.0,0.015,0.0,502272.74767510575,0.0,0.0,502272.7476751058,502272.7476751058
ror,6551902.560169404,0.0,6551902.560169404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
solar,23079583.174541354,3857597.0380655234,19221986.13647583,230795.83174541144,90479241.09102373,0.00999999999999995,0.0,230795.83174541238,0.0,0.0,230795.83174541144,90710036.92276914
Total,310223641.83282256,3857597.0380655234,306366044.794757,8348877570.382476,90479241.09102373,68.0615085905365,0.54,8249263628.413597,49659002.77201821,4221015235.6215477,12569892806.004025,12660372047.095049
