,lower_bound,upper_bound,count,percent_of_interval
0,4.999,5.1,0,0.0
1,5.1,5.2,0,0.0
2,5.2,5.3,0,0.0
3,5.3,5.4,0,0.0
4,5.4,5.5,4,6.153846153846154
5,5.5,5.6,28,43.07692307692308
6,5.6,5.7,17,26.153846153846157
7,5.7,5.8,6,9.230769230769232
8,5.8,5.9,0,0.0
9,5.9,6.0,10,15.384615384615385
