year,DE,GA,NT,Average
2025,,,41.9806003838963,41.9806003838963
2030,,,39.5755709301822,39.5755709301822
2040,42.329170698250515,39.576985304229304,41.549034748584965,41.15173025035492
2050,60.40139117925097,40.18428388974601,,50.29283753449849
