year,DE,GA,NT,Average
2025,,,28.48110818254317,28.48110818254317
2030,,,20.358290942716145,20.358290942716145
2040,33.43773779417849,21.420192608298446,25.430262023177736,26.762730808551556
2050,44.59176643036781,24.285809392693256,,34.43878791153053
