year,DE,GA,NT,Average
2025,,,32.091640522179674,32.091640522179674
2030,,,22.482379187118685,22.482379187118685
2040,35.9156601103188,23.37889583292785,27.610572699544033,28.96837621426356
2050,46.91879147745474,25.694346955317858,,36.3065692163863
