lower_bound,upper_bound,count,percent,count_2025,count_2030,count_2040,count_2050
0.0,1.0,28408,54.90105132962276,3619,4697,12523,7569
55.0,56.0,9597,18.54707792207792,1840,1196,3847,2714
54.0,55.0,4482,8.661873840445269,747,638,1829,1268
56.0,57.0,3737,7.222093382807669,699,386,1527,1125
57.0,58.0,1967,3.8014069264069263,284,246,842,595
58.0,59.0,1273,2.4601886209029065,141,139,575,418
59.0,60.0,624,1.2059369202226344,43,56,265,260
53.0,54.0,255,0.4928107606679035,8,34,145,68
50.0,51.0,250,0.483147804576376,7,0,156,87
51.0,52.0,204,0.39424860853432286,3,0,69,132
70.0,inf,198,0.3826530612244898,0,0,100,98
69.0,70.0,195,0.3768552875695733,0,0,142,53
24.0,25.0,99,0.1913265306122449,0,0,0,99
68.0,69.0,85,0.16427025355596783,0,0,58,27
60.0,61.0,57,0.11015769944341372,0,0,4,53
22.0,23.0,55,0.10629251700680273,0,0,0,55
67.0,68.0,37,0.07150587507730365,0,0,28,9
52.0,53.0,37,0.07150587507730365,0,0,11,26
49.0,50.0,36,0.06957328385899814,1,0,31,4
46.0,47.0,30,0.057977736549165125,0,0,0,30
63.0,64.0,28,0.05411255411255411,0,0,9,19
47.0,48.0,23,0.04444959802102659,0,0,0,23
64.0,65.0,21,0.040584415584415584,0,0,6,15
62.0,63.0,20,0.03865182436611008,0,0,6,14
61.0,62.0,11,0.021258503401360544,0,0,1,10
48.0,49.0,8,0.015460729746444033,0,0,0,8
45.0,46.0,5,0.00966295609152752,0,0,0,5
66.0,67.0,2,0.003865182436611008,0,0,2,0
10.0,11.0,0,0.0,0,0,0,0
11.0,12.0,0,0.0,0,0,0,0
44.0,45.0,0,0.0,0,0,0,0
9.0,10.0,0,0.0,0,0,0,0
3.0,4.0,0,0.0,0,0,0,0
8.0,9.0,0,0.0,0,0,0,0
7.0,8.0,0,0.0,0,0,0,0
6.0,7.0,0,0.0,0,0,0,0
5.0,6.0,0,0.0,0,0,0,0
4.0,5.0,0,0.0,0,0,0,0
42.0,43.0,0,0.0,0,0,0,0
2.0,3.0,0,0.0,0,0,0,0
65.0,66.0,0,0.0,0,0,0,0
43.0,44.0,0,0.0,0,0,0,0
41.0,42.0,0,0.0,0,0,0,0
12.0,13.0,0,0.0,0,0,0,0
40.0,41.0,0,0.0,0,0,0,0
13.0,14.0,0,0.0,0,0,0,0
14.0,15.0,0,0.0,0,0,0,0
15.0,16.0,0,0.0,0,0,0,0
16.0,17.0,0,0.0,0,0,0,0
17.0,18.0,0,0.0,0,0,0,0
18.0,19.0,0,0.0,0,0,0,0
19.0,20.0,0,0.0,0,0,0,0
20.0,21.0,0,0.0,0,0,0,0
21.0,22.0,0,0.0,0,0,0,0
23.0,24.0,0,0.0,0,0,0,0
25.0,26.0,0,0.0,0,0,0,0
26.0,27.0,0,0.0,0,0,0,0
27.0,28.0,0,0.0,0,0,0,0
28.0,29.0,0,0.0,0,0,0,0
29.0,30.0,0,0.0,0,0,0,0
30.0,31.0,0,0.0,0,0,0,0
31.0,32.0,0,0.0,0,0,0,0
32.0,33.0,0,0.0,0,0,0,0
33.0,34.0,0,0.0,0,0,0,0
34.0,35.0,0,0.0,0,0,0,0
1.0,2.0,0,0.0,0,0,0,0
36.0,37.0,0,0.0,0,0,0,0
37.0,38.0,0,0.0,0,0,0,0
38.0,39.0,0,0.0,0,0,0,0
39.0,40.0,0,0.0,0,0,0,0
35.0,36.0,0,0.0,0,0,0,0
