battery,value
ES1 0 bat,2.721066222588658e-06
ES1 1 bat,2.721066222588658e-06
ES1 2 bat,2.721066222588658e-06
ES1 3 bat,2.721066222588658e-06
ES1 4 bat,2.721066222588658e-06
ES1 5 bat,2.721066222588658e-06
ES1 6 bat,2.721066222588658e-06
ES1 7 bat,2.721066222588658e-06
ES1 8 bat,2.721066222588658e-06
PT1 0 bat,2.721066222588658e-06
PT1 1 bat,2.721066222588658e-06
