snapshot,88,89,90,91,92,93,95,96,97,99,100,101,102,103,104,105,106,107,219,100 new,101 new,102 new,103 new,104 new,105 new,106 new,107 new,219 new,88 new,89 new,90 new,91 new,92 new,93 new,95 new,96 new,97 new,99 new
2013-01-01 00:00:00,-2189.658630928575,5023.799741215634,-1772.0719640320513,-7775.522485338205,-601.6452801034382,8267.078504526251,-5094.307835221583,4340.506840571652,-2273.5502204347213,-12646.3957663834,1870.2993021857983,5938.257843686245,-2719.0093544670035,-3396.205223481055,-8758.6345237143,-11511.56750653287,-3172.7706693046694,-1698.1026117405274,-7041.694418261352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-01 01:00:00,-2189.658630928575,5103.931656395506,-2297.2576011548454,-7775.522485338205,-434.12595434197965,8267.078504526251,-5094.307835221583,4085.730129248779,-2434.1632183274373,-12646.3957663834,1277.4457115725018,6758.812177406474,-2444.2632614812665,-3396.205223481055,-8758.6345237143,-11106.917755056114,-3172.7706693046694,-1698.1026117405274,-7837.973106782538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-01 02:00:00,-2189.658630928575,5182.046330208775,-2774.388675002644,-7775.522485338205,239.88505200490363,8267.078504526251,-5094.307835221583,3869.035146451006,-2559.0920671510503,-12646.3957663834,1480.253556899992,6792.41044696211,-3495.252849440816,-3396.205223481055,-8758.6345237143,-10228.552224381774,-3172.7706693046694,-1698.1026117405274,-8011.771749263146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-01 03:00:00,-2189.658630928575,5247.541701676303,-3097.87161518465,-7775.522485338205,646.8696246954066,8267.078504526251,-5094.307835221583,3703.5951563276794,-2623.209383404611,-12646.3957663834,1802.0233388196684,6724.280369318062,-4243.271983441762,-3396.205223481055,-8758.6345237143,-9724.130446704807,-3172.7706693046694,-1698.1026117405274,-8061.908820885692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-01 04:00:00,-2189.658630928575,5307.7335548043275,-3438.4459999624924,-7775.522485338205,1125.0172922694617,8267.078504526251,-5094.307835221583,3511.445062748824,-2658.644397796219,-12646.3957663834,2190.987371004896,6552.258038985284,-4871.089691930323,-3396.205223481055,-8758.6345237143,-9421.634681271686,-3172.7706693046694,-1698.1026117405274,-7986.708599720023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-01 05:00:00,-2189.658630928575,5325.7007936507935,-3458.1927844274587,-7775.522485338205,1088.2117471152267,8267.078504526251,-5094.307835221583,3524.456763713475,-2626.9994601557737,-12646.3957663834,2425.001853775966,6480.461415973722,-5066.257443437849,-3396.205223481055,-8758.6345237143,-9333.236145751034,-3172.7706693046694,-1698.1026117405274,-7958.268569890163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-01 06:00:00,-2189.658630928575,5308.276932814496,-3515.2261433780996,-7775.522485338205,1050.933274640878,8267.078504526251,-5094.307835221583,3565.4139977814702,-2574.652316662279,-12646.3957663834,2601.6253036865746,6456.529660167119,-5155.970263430904,-3396.205223481055,-8758.6345237143,-9349.524890265295,-3172.7706693046694,-1698.1026117405274,-7976.5878770087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-01 07:00:00,-2189.658630928575,5316.394756671986,-3704.1543702724293,-7775.522485338205,1222.7652038715612,8267.078504526251,-5094.307835221583,3573.691664758655,-2592.0524754725193,-12646.3957663834,2806.059815951923,6423.66453534688,-5315.409107396138,-3396.205223481055,-8758.6345237143,-9368.24510155377,-3172.7706693046694,-1698.1026117405274,-7907.497518886494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-01 08:00:00,-2189.658630928575,5439.699862126047,-4134.84475193997,-7775.522485338205,1652.7851202462869,8267.078504526251,-5094.307835221583,3417.75135391195,-2614.8918685883764,-12646.3957663834,2582.081224490914,6713.069186738473,-5472.1905173608875,-3396.205223481055,-8758.6345237143,-8996.903437782921,-3172.7706693046694,-1698.1026117405274,-7990.172728912139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-01 09:00:00,-2189.658630928575,5259.025536276314,-4173.671979297014,-7775.522485338205,1698.1026117405274,8267.078504526251,-5094.307835221583,3617.880840394084,-2470.6810946581218,-12646.3957663834,2345.1607219382713,6792.41044696211,-5598.235087954958,-3396.205223481055,-8758.6345237143,-8979.581451725044,-3172.7706693046694,-1698.1026117405274,-7996.409976190681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-01 10:00:00,-2189.658630928575,5653.640293055248,-4219.506542939076,-7775.522485338205,1428.2718534021867,8267.078504526251,-5094.307835221583,3294.514069205896,-2243.437311032453,-12646.3957663834,2034.8793717136214,6792.41044696211,-5197.130371803016,-3396.205223481055,-8758.6345237143,-9179.86960829317,-3172.7706693046694,-1698.1026117405274,-7504.144344640931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-01 11:00:00,-2189.658630928575,5462.209410405244,-4528.027174342111,-7775.522485338205,1698.1026117405274,8267.078504526251,-5094.307835221583,3461.219071625057,-2189.95398164622,-12646.3957663834,2017.7140090671128,6792.41044696211,-5615.368813289122,-3396.205223481055,-8758.6345237143,-8896.891353796756,-3172.7706693046694,-1698.1026117405274,-7510.329672481178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-01 12:00:00,-2189.658630928575,5112.242387068317,-4487.032013545294,-7775.522485338205,1698.1026117405274,8267.078504526251,-5094.307835221583,4053.8141343507796,-2181.2444252196074,-12646.3957663834,2042.7920806156799,6792.41044696211,-5497.337877611334,-3396.205223481055,-8758.6345237143,-9069.94199098218,-3172.7706693046694,-1698.1026117405274,-7492.752743776591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-01 13:00:00,-2189.658630928575,5032.124479145955,-4428.697803788151,-7775.522485338205,1698.1026117405274,8267.078504526251,-5094.307835221583,4319.607168429484,-2184.4679982245434,-12646.3957663834,2244.1128946131794,6792.41044696211,-5418.155604230196,-3396.205223481055,-8758.6345237143,-9242.96556126965,-3172.7706693046694,-1698.1026117405274,-7742.049563051754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-01 14:00:00,-2189.658630928575,4832.682978183248,-4080.9274944695817,-7775.522485338205,1435.9141284296668,8267.078504526251,-5094.307835221583,4535.12239114604,-2301.011611629522,-12646.3957663834,2506.1137485266427,6792.41044696211,-5307.221925010241,-3396.205223481055,-8758.6345237143,-9519.535385803376,-3172.7706693046694,-1698.1026117405274,-7963.575481640575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-01 15:00:00,-2189.658630928575,5617.505778353899,-4194.5164356172345,-7775.522485338205,1415.5504242439863,8267.078504526251,-5094.307835221583,3972.292783720217,-2274.9918312113114,-12646.3957663834,2427.6985589514807,6792.41044696211,-5423.1863852167135,-3396.205223481055,-8758.6345237143,-9149.033059317575,-3172.7706693046694,-1698.1026117405274,-7984.052665245583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-01 16:00:00,-2189.658630928575,5202.166901592996,-2462.0621658962373,-7775.522485338205,92.6688806555112,8267.078504526251,-5094.307835221583,4922.320395613762,-2081.3713834477094,-12646.3957663834,2749.5848699681883,5842.628758032598,-3504.7309610542106,-3396.205223481055,-8758.6345237143,-10917.390383822858,-3172.7706693046694,-1698.1026117405274,-6848.723383259021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-01 17:00:00,-2189.658630928575,5485.618071202421,-1800.9742568660558,-7775.522485338205,1698.1026117405274,8267.078504526251,-5094.307835221583,4949.668107502048,-1742.0421922686119,-12646.3957663834,1222.2514604377302,6789.202428784024,-2563.6117624114177,-3396.205223481055,-8758.6345237143,-9924.884401542306,-3172.7706693046694,-1698.1026117405274,-7366.315480236399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-01 18:00:00,-2189.658630928575,5935.191342248655,-2766.5185051910676,-7093.050919901617,1698.1026117405274,8267.078504526251,-5094.307835221583,4640.534732422626,-1590.730164240943,-12646.3957663834,1224.5121137293354,6792.41044696211,-2287.606336301007,-3021.553426257887,-8758.6345237143,-10150.83650379365,-3172.7706693046694,-1698.1026117405274,-7158.931070114415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-01 19:00:00,-2189.658630928575,5865.984909090473,-3198.465446755835,-6804.170255994931,1698.1026117405274,8267.078504526251,-5094.307835221583,4809.141023841032,-1490.4563975637402,-12646.3957663834,1670.6082494202237,6792.41044696211,-2593.310849424557,-2714.5709385768196,-8758.6345237143,-10287.38932602937,-3172.7706693046694,-1698.1026117405274,-6897.196274143659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-01 20:00:00,-2189.658630928575,5825.444362463492,-3727.190901498295,-6294.915081571054,1698.1026117405274,8267.078504526251,-5094.307835221583,4814.722692027459,-1435.9758648505458,-12646.3957663834,1564.5072371243805,6792.41044696211,-2454.0922165495213,-2473.569311692926,-8758.6345237143,-10328.695238095239,-3172.7706693046694,-1698.1026117405274,-6723.9844900613125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-01 21:00:00,-2189.658630928575,5089.8431302923755,-2365.1962927452505,-6754.298187423655,1698.1026117405274,8267.078504526251,-5094.307835221583,4988.1335837810275,-2074.0850366250997,-12646.3957663834,1560.6056446151451,6792.41044696211,-3696.864585745381,-2462.843540108027,-8758.6345237143,-9530.764349149747,-3172.7706693046694,-1698.1026117405274,-6672.824318914234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
