year,DE,GA,NT,Average
2025,,,49.275498130350705,49.275498130350705
2030,,,44.35309318919303,44.35309318919303
2040,46.35770379670188,42.82954647159829,45.65850431373156,44.948584860677244
2050,67.18396566477801,43.78707556717464,,55.48552061597633
