year,potential_capacity,new_capacity,number_possible_buildouts,number_actual_buildouts,cost_of_buildout
2025,95000,11736.67768457347,19,3,201542169.60360783
2030,95000,3229.2168540125317,19,1,41597168.46910583
2040,95000,0.0,19,0,0.0
2050,95000,0.0,19,0,0.0
