year,potential_capacity,new_capacity,number_possible_buildouts,number_actual_buildouts,cost_of_buildout
2025,95000,10119.76628023318,19,3,182577093.41034913
2030,95000,3556.358144704809,19,1,46700329.71285977
2040,95000,0.0,19,0,0.0
2050,95000,0.0,19,0,0.0
