year,CCGT,coal,offwind-ac,onwind,ror,solar
2025,0.0,0.0,57459811.787683144,95060144.03451082,38308206.11648513,51494063.051818684
2030,0.0,0.0,57786901.33321638,76645764.21581899,63847010.19414187,76317547.84615563
2040,0.0,0.0,61994473.89299897,81514031.70713003,89385814.27179863,95306438.48830865
2050,0.0,0.0,60097856.75179343,74513977.9347479,114924618.34945536,101259140.04951209
