year,CCGT,coal,offwind-ac,onwind,ror,solar
2025,132267566.86648777,15456213.416957015,34299676.96081947,62850989.68568586,12608460.519711232,24276410.30184117
2030,132153340.83338302,9876628.67858038,40496543.09287809,73891125.51485413,15130152.62365348,29131692.362209402
2040,162144230.17547184,12644598.851686765,46294453.860019445,86446109.1098957,17549033.68435912,33986974.422577634
2050,175419397.91758972,13626499.892669536,47957524.28484866,89438761.30416986,17549033.68435912,38842256.482945874
