year,potential_capacity,new_capacity,number_possible_buildouts,number_actual_buildouts,cost_of_buildout
2025,95000,11803.337869750228,19,3,202324040.20427305
2030,95000,3485.5311656551257,19,1,44027499.401002906
2040,95000,0.0,19,0,0.0
2050,95000,0.0,19,0,0.0
