dual,total_duals,nonzero_duals,percent_nonzero
battery_charge_new_max_duals,51744,1056,2.0408163265306123
battery_charge_old_duals,0,0,0.0
battery_discharge_new_max_duals,51744,927,1.7915120593692022
battery_discharge_old_duals,0,0,0.0
branch_extension_duals,76,1,1.3157894736842104
branch_flow_new_duals_max,89376,9763,10.923514142499105
branch_flow_new_duals_min,89376,34513,38.615511994271394
branch_flow_old_duals_max,89376,9737,10.894423558897243
branch_flow_old_duals_min,89376,34496,38.59649122807017
emissions_duals,7,0,0.0
gen_extension_duals,204,37,18.137254901960784
gen_output_new_duals,239904,145790,60.77014138988929
gen_output_old_duals,239904,145775,60.763888888888886
load_shedding_duals,51744,0,0.0
power_balance_duals,51744,51744,100.0
