,Generator Capacity [MW],Transmission Line Capacity [MW],Battery Capacity [MW],Total Production [MWh/year],CO₂ Emissions [tonnes/year],Load Shedding [MWh/year],Curtailment [MWh/year]
Base,92111.0127085661,24288.659927779383,18329.10995706494,331455986.2866528,25675541.62868101,0.0,0.0
No Battery,98969.88717000785,23777.34438744918,,331819745.4285424,25550449.928428672,5113.2457417917585,0.0
Difference,6858.874461441752,-511.3155403302044,,363759.14188957214,-125091.70025233924,5113.2457417917585,0.0
Difference (%),7.446313160341461,-2.105161593313773,,0.10974583562807722,-0.4872017971866457,,
