,Base,No Battery,difference,difference %
Generator Investment [EUR/yr],2317195102.943053,2461247666.694301,144052563.75124836,6.2
Transmission Investment [EUR/yr],101686767.7383703,99984307.03661078,-1702460.7017595172,-1.7
Battery Investment [EUR/yr],201243774.88394263,0.0,-201243774.88394263,-100.0
CapEx [EUR/yr],2620125645.565366,2561231973.730912,-58893671.83445358,-2.2
Production Cost [EUR/yr],4617368724.453851,4768250047.093643,150881322.63979244,3.3
CO2 Cost [EUR/yr],2054043330.2944808,2044035994.2742934,-10007336.020187378,-0.5
Load Shedding Cost [EUR/yr],0.0,32469110.46037767,32469110.46037767,
Curtailment Cost [EUR/yr],0.0,0.0,0.0,
Total OpEx [EUR/yr],6671412054.748331,6844755151.828315,173343097.0799837,2.6
Total System Cost [EUR/yr],9291537700.313698,9405987125.559227,114449425.24552917,1.2
