,Base,No Battery,difference,difference %
Generator Investment [EUR],8527165320.888498,9230421790.461617,703256469.5731182,8.2
Transmission Investment [EUR],229277423.1232089,240555202.39827117,11277779.275062263,4.9
Battery Investment [EUR],236813704.20873803,0.0,-236813704.20873803,-100.0
CapEx [EUR],8993256448.220446,9470976992.859886,477720544.63944054,5.3
Production Cost [EUR],15201122103.381489,14939067986.54031,-262054116.8411789,-1.7
CO2 Cost [EUR],6555570957.464989,6409315871.11282,-146255086.35216904,-2.2
Load Shedding Cost [EUR],14693778.10886082,107011763.8109772,92317985.70211639,628.3
Curtailment Cost [EUR],0.0,0.0,0.0,
Total OpEx [EUR],21771386838.955334,21455395621.464108,-315991217.4912262,-1.5
Total System Cost [EUR],30764643287.17578,30926372614.323997,161729327.14821625,0.5
