run,Generator Investment [EUR/yr],Transmission Investment [EUR/yr],Battery Investment [EUR/yr],CapEx [EUR/yr],Production Cost [EUR/yr],CO2 Cost [EUR/yr],Load Shedding Cost [EUR/yr],Curtailment Cost [EUR/yr],Total OpEx [EUR/yr],Total System Cost [EUR/yr]
Base,2317195102.943053,101686767.7383703,201243774.88394263,2620125645.565366,4617368724.453851,2054043330.2944808,0.0,0.0,6671412054.748331,9291537700.313698
No Battery,2461247666.694301,99984307.03661078,0.0,2561231973.730912,4768250047.093643,2044035994.2742934,32469110.46037767,0.0,6844755151.828315,9405987125.559227
