run,Generator Investment [EUR],Transmission Investment [EUR],Battery Investment [EUR],CapEx [EUR],Production Cost [EUR],CO2 Cost [EUR],Load Shedding Cost [EUR],Curtailment Cost [EUR],Total OpEx [EUR],Total System Cost [EUR]
Base,8527165320.888498,229277423.1232089,236813704.20873803,8993256448.220446,15201122103.381489,6555570957.464989,14693778.10886082,0.0,21771386838.955334,30764643287.17578
No Battery,9230421790.461617,240555202.39827117,0.0,9470976992.859886,14939067986.54031,6409315871.11282,107011763.8109772,0.0,21455395621.464108,30926372614.323997
