run,SP,EEV,perfect information,EVPI,VSS
Base,37166150801.25063,38065532380.86784,36980728413.37667,185422387.8739624,899381579.6172104
No Battery,37623948502.234825,37840077912.05131,37454139919.2499,169808582.98492432,216129409.81648254
