,Generator Capacity [MW],Transmission Line Capacity [MW],Battery Energy Capacity [MWh],Total Production [MWh],Total CO₂ Emissions [tonnes],Load Shedding [MWh],Curtailment [MWh]
Base,92111.0127085661,24288.659927779383,36658.21991412988,1325823945.1466112,102702166.51472405,0.0,0.0
No Battery,98969.88717000785,23777.34438744918,,1327278981.7141695,102201799.71371469,20452.982967167034,0.0
Difference,6858.874461441752,-511.3155403302044,,1455036.5675582886,-500366.801009357,20452.982967167034,0.0
Difference (%),7.446313160341461,-2.105161593313773,,0.10974583562807722,-0.4872017971866457,,
