run,SP,EEV,perfect information,EVPI,VSS
Base,9291537700.312658,9516383095.21696,9245182103.344168,46355596.9684906,224845394.9043026
No Battery,9405987125.558706,9460019478.012827,9363534979.812475,42452145.74623108,54032352.454120636
